Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,"COVID-19 deaths per 100,000 population in 2020",Median age,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,Index of institutional trust,Gini coefficient of income
South Africa,Sub-Saharan Africa,4.956,9.402999999999999,0.86,56.903999999999996,0.7490000000000001,-0.067,0.86,48.001000000000005,27.3,0.607,9.297,0.193,65.426
Turkey,Middle East and North Africa,4.948,10.24,0.8220000000000001,67.199,0.5760000000000001,-0.139,0.7759999999999999,24.758000000000003,31.6,2.0669999999999997,8.952,0.295,40.55
Pakistan,South Asia,4.934,8.458,0.6509999999999999,58.708999999999996,0.726,0.098,0.787,4.607,23.5,1.048,8.577,0.27699999999999997,33.45
Morocco,Middle East and North Africa,4.918,8.902999999999999,0.56,66.208,0.774,-0.23600000000000002,0.8009999999999999,20.016,29.6,2.336,9.226,0.397,39.55
Venezuela,Latin America and Caribbean,4.8919999999999995,9.073,0.861,66.7,0.615,-0.16899999999999998,0.8270000000000001,3.615,29.0,0.8909999999999999,9.564,0.12,37.8
Georgia,Commonwealth of Independent States,4.891,9.585,0.6709999999999999,64.3,0.7829999999999999,-0.23800000000000002,0.655,62.795,38.7,1.706,8.851,0.198,37.94
Algeria,Middle East and North Africa,4.887,9.342,0.802,66.005,0.48,-0.067,0.752,6.285,29.1,2.9330000000000003,9.158999999999999,0.415,27.62
Ukraine,Commonwealth of Independent States,4.875,9.436,0.888,64.902,0.7240000000000001,-0.011000000000000001,0.924,44.086999999999996,41.4,2.206,8.929,0.059000000000000004,25.0
Iraq,Middle East and North Africa,4.854,9.24,0.746,60.583,0.63,-0.053,0.875,31.855,20.0,1.652,8.882,0.133,33.12
Gabon,Sub-Saharan Africa,4.852,9.603,0.7759999999999999,59.961999999999996,0.731,-0.2,0.84,2.875,23.1,0.865,9.305,0.10400000000000001,38.02
Burkina Faso,Sub-Saharan Africa,4.834,7.678,0.672,54.151,0.695,-0.009000000000000001,0.748,0.40700000000000003,17.6,1.092,9.318,0.359,35.3
Cambodia,Southeast Asia,4.83,8.36,0.765,62.0,0.9590000000000001,0.034,0.843,0.0,25.6,0.7140000000000001,8.256,0.498,36.0
Mozambique,Sub-Saharan Africa,4.794,7.1579999999999995,0.7440000000000001,54.706,0.882,0.061,0.684,0.531,17.7,0.599,9.273,0.473,49.417
Nigeria,Sub-Saharan Africa,4.7589999999999995,8.533,0.74,50.102,0.737,0.037000000000000005,0.878,0.625,18.1,1.023,9.279,0.2,44.894
Mali,Sub-Saharan Africa,4.723,7.744,0.7240000000000001,51.968999999999994,0.6970000000000001,-0.036000000000000004,0.8270000000000001,1.328,16.4,1.07,9.352,0.27399999999999997,33.04
Iran,Middle East and North Africa,4.721,9.584,0.71,66.3,0.608,0.218,0.7140000000000001,65.747,32.4,1.7069999999999999,8.809,0.36700000000000005,39.97
Uganda,Sub-Saharan Africa,4.636,7.6770000000000005,0.7809999999999999,56.101000000000006,0.7090000000000001,0.122,0.855,0.5489999999999999,16.4,0.816,9.142999999999999,0.239,42.75
Liberia,Sub-Saharan Africa,4.625,7.287999999999999,0.72,56.498000000000005,0.735,0.05,0.85,1.641,19.2,0.935,9.398,0.273,35.27
Kenya,Sub-Saharan Africa,4.607,8.361,0.688,60.70399999999999,0.779,0.287,0.825,3.1060000000000003,20.0,0.7809999999999999,9.119,0.331,40.78
Tunisia,Middle East and North Africa,4.596,9.266,0.691,67.20100000000001,0.6559999999999999,-0.201,0.87,39.565,32.7,3.0180000000000002,9.118,0.129,32.82
Lebanon,Middle East and North Africa,4.584,9.626,0.848,67.355,0.525,-0.073,0.898,21.508000000000003,31.1,1.891,8.956,0.107,31.83
Namibia,Sub-Saharan Africa,4.574,9.161,0.818,56.799,0.7190000000000001,-0.149,0.847,8.068,22.0,0.625,9.349,0.311,57.535
Palestinian Territories,Middle East and North Africa,4.5169999999999995,8.485,0.826,62.25,0.653,-0.163,0.821,27.443,20.4,2.1109999999999998,8.975,0.16399999999999998,33.69
Myanmar,Southeast Asia,4.426,8.541,0.779,59.302,0.8759999999999999,0.509,0.66,4.928999999999999,29.1,0.759,8.299,0.621,38.07
Jordan,Middle East and North Africa,4.395,9.182,0.767,67.0,0.755,-0.16699999999999998,0.705,37.577,23.2,1.895,8.961,0.465,33.1
Chad,Sub-Saharan Africa,4.355,7.364,0.619,48.478,0.579,0.040999999999999995,0.807,0.633,16.7,1.077,9.213,0.26899999999999996,43.32
Sri Lanka,South Asia,4.325,9.47,0.8270000000000001,67.29899999999999,0.841,0.079,0.863,0.953,34.1,0.705,8.635,0.368,41.937
Comoros,Sub-Saharan Africa,4.289,8.031,0.626,57.349,0.5479999999999999,0.08199999999999999,0.7809999999999999,1.15,20.4,0.6629999999999999,9.128,0.139,45.33
Egypt,Middle East and North Africa,4.283,9.367,0.75,61.998000000000005,0.7490000000000001,-0.182,0.795,7.457000000000001,25.3,1.6269999999999998,9.007,0.446,31.56
Ethiopia,Sub-Saharan Africa,4.275,7.694,0.764,59.0,0.752,0.08199999999999999,0.7609999999999999,1.673,19.8,0.915,9.047,0.397,33.498000000000005
Mauritania,Sub-Saharan Africa,4.227,8.542,0.795,57.161,0.561,-0.106,0.731,7.462999999999999,20.3,1.149,9.363999999999999,0.122,32.62
Madagascar,Sub-Saharan Africa,4.208,7.396,0.6859999999999999,59.305,0.552,-0.005,0.8029999999999999,0.9420000000000001,19.6,0.603,9.142000000000001,0.312,42.65
Togo,Sub-Saharan Africa,4.107,7.362,0.569,54.913999999999994,0.619,0.032,0.772,0.821,19.4,0.966,9.329,0.212,43.06
Zambia,Sub-Saharan Africa,4.073,8.145,0.708,55.809,0.782,0.061,0.823,2.11,17.7,0.667,9.251,0.322,57.14
